Record,Location,Title,Job Type,Sex,Classification,Supervisor,Last Eval,Q1 Number,Q2,Q3,Q4,Q5,Q7,Q8,Supervisor,Q2 Number,Q3 Number,Q4 Number,Q5 Number,Q7 Number,Q8 Number
10001234,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,2,Yes,Agree,Strongly Disagree,Strongly Disagree,,Disagree,N,1,1,-2,-2,,-1
10001235,Illinois,Technician - Production,Full-Time,Female,Production,No,Outstanding,3,Yes,strongly disagree,Agree,Disagree,,Disagree,N,1,-2,1,-1,,-1
10001236,New York,Technician - Production,Full-Time,Female,Production,No,Satisfactory,3,Yes,agree,Disagree,Agree,,Strongly Disagree,N,1,1,-1,1,,-2
10001237,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,2,Yes,strongly disagree,Strongly Disagree,Disagree,,Disagree,N,1,-2,-2,-1,,-1
10001238,Texas,Technician - Production,Full-Time,Female,Production,No,Satisfactory,3,Yes,disagree,Strongly Agree,Disagree,,Strongly Disagree,N,1,-1,2,-1,,-2
10001239,Florida,Director,Full-Time,Female,Admin,Yes,Satisfactory,3,Yes,agree,Agree,Agree,Disagree,,Y,1,1,1,1,-1,
10001240,California,Project Manager,Full-Time,Male,Admin,No,Satisfactory,4,No,strongly agree,Strongly Agree,Disagree,,Disagree,N,0,2,2,-1,,-1
10001241,Florida,Technician - Aftermarket,Part-Time,Male,Production,No,Satisfactory,1,Yes,strongly disagree,Strongly Agree,Disagree,,Strongly Disagree,N,1,-2,2,-1,,-2
10001242,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,2,No,disagree,Agree,Disagree,,Strongly Disagree,N,0,-1,1,-1,,-2
10001243,New Hampshire,Sales - Client Support,Full-Time,Male,Client/Support,No,Satisfactory,3,Yes,disagree,Disagree,Agree,,Disagree,N,1,-1,-1,1,,-1
10001244,California,Engineering - Production,Full-Time,Female,Admin,No,Outstanding,2,Yes,disagree,Strongly Agree,Strongly Disagree,,Disagree,N,1,-1,2,-2,,-1
10001245,Florida,IT/Support,Full-Time,Male,Client/Support,No,Satisfactory,2,No,agree,Agree,Strongly Disagree,,Strongly Disagree,N,0,1,1,-2,,-2
10001246,Texas,Team Lead,Full-Time,Female,Client/Support,Yes,Satisfactory,3,Yes,disagree,Disagree,Disagree,Disagree,,Y,1,-1,-1,-1,-1,
10001247,California,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,2,Yes,agree,Disagree,Agree,,Disagree,N,1,1,-1,1,,-1
10001248,New Hampshire,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,1,Yes,strongly agree,Strongly Agree,Disagree,,Strongly Agree,N,1,2,2,-1,,2
10001249,New Hampshire,Technician - Production,Full-Time,Female,Production,No,Poor,1,No,agree,Disagree,Disagree,,Strongly Disagree,N,0,1,-1,-1,,-2
10001250,Texas,Director,Full-Time,Male,Admin,Yes,Satisfactory,2,Yes,strongly disagree,Disagree,Agree,Strongly Disagree,,Y,1,-2,-1,1,-2,
10001251,Florida,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,1,Yes,disagree,Disagree,Disagree,,Disagree,N,1,-1,-1,-1,,-1
10001252,Texas,Technician - Production,Full-Time,Female,Production,No,Satisfactory,3,No,strongly disagree,Agree,Agree,,Disagree,N,0,-2,1,1,,-1
10001253,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly agree,Agree,Disagree,,Disagree,N,1,2,1,-1,,-1
10001254,Illinois,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,3,No,disagree,Strongly Disagree,Disagree,,Strongly Disagree,N,0,-1,-2,-1,,-2
